repo_url,repo_name,owner,framework,stars,forks,last_commit,language,cs_file_count,designer_cs_count,xaml_count,resx_count,complexity_tier,license,description,created_at
https://github.com/NickeManarin/ScreenToGif,ScreenToGif,NickeManarin,WPF,26618,2327,2026-03-24,C#,648,0,121,0,Large,MS-PL,"🎬 ScreenToGif allows you to record a selected area of your screen, edit and save it as a gif or video.",2016-08-02
https://github.com/BeyondDimension/SteamTools,SteamTools,BeyondDimension,WPF,24912,1605,2026-03-11,C#,933,14,0,21,Medium,GPL-3.0,🛠「Watt Toolkit」是一个开源跨平台的多功能 Steam 工具箱。,2020-12-15
https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit,MaterialDesignInXamlToolkit,MaterialDesignInXAML,WPF,16103,3491,2026-03-27,C#,725,12,356,6,Large,MIT,"Google's Material Design in XAML & WPF, for C# & VB.Net. ",2015-02-07
https://github.com/srwi/EverythingToolbar,EverythingToolbar,srwi,WPF,13729,533,2026-03-25,C#,97,29,62,66,Large,NOASSERTION,Everything integration for the Windows taskbar.,2020-09-13
https://github.com/JosefNemec/Playnite,Playnite,JosefNemec,WPF,12706,603,2026-02-20,C#,752,8,285,4,Large,MIT,"Video game library manager with support for wide range of 3rd party libraries and game emulation support, providing one unified interface for your games.",2017-03-25
https://github.com/d2phap/ImageGlass,ImageGlass,d2phap,WinForms,12610,690,2026-03-20,C#,238,25,0,25,Large,NOASSERTION,"🏞 A lightweight, versatile image viewer",2012-12-30
https://github.com/lucasg/Dependencies,Dependencies,lucasg,WPF,11307,915,2024-05-15,C#,123,4,17,2,Large,MIT,"A rewrite of the old legacy software ""depends.exe"" in C# for Windows devs to troubleshoot dll load dependencies issues.",2017-06-25
https://github.com/File-New-Project/EarTrumpet,EarTrumpet,File-New-Project,WPF,10819,556,2026-03-22,C#,310,1,12,34,Medium,NOASSERTION,EarTrumpet - Volume Control for Windows,2015-07-11
https://github.com/MathewSachin/Captura,Captura,MathewSachin,WPF,10601,1971,2023-04-09,C#,520,0,65,0,Large,MIT,"Capture Screen, Audio, Cursor, Mouse Clicks and Keystrokes",2015-08-29
https://github.com/YSGStudyHards/DotNetGuide,DotNetGuide,YSGStudyHards,WinForms,10278,1453,2026-03-25,C#,35,0,0,0,Small,MIT,🌈【C#/.NET/.NET Core学习、工作、面试指南】记录、收集和总结C#/.NET/.NET Core基础知识、学习路线、开发实战、编程技巧练习、学习视频、文章、书籍、项目框架、社区组织、开发必备工具、技术前沿周刊、常见面试题、面试须知、简历模板、人才招聘、以及自己在学习和工作中的一些微薄见解。希望能和大家一起学习，共同进步。如果本知识库能为您提供帮助，别忘了给予支持哦(关注、点赞、分享),2020-10-08
https://github.com/cefsharp/CefSharp,CefSharp,cefsharp,WinForms,10227,2954,2026-03-27,C#,610,8,14,8,Large,NOASSERTION,.NET (WPF and Windows Forms) bindings for the Chromium Embedded Framework,2010-12-03
https://github.com/0x7c13/Notepads,Notepads,0x7c13,UWP,9970,532,2026-03-23,C#,213,0,34,0,Large,MIT,"A modern, lightweight text editor with a minimalist design.",2019-06-01
https://github.com/unoplatform/uno,uno,unoplatform,UWP,9881,849,2026-03-27,C#,15957,7,2438,2,Large,Apache-2.0,"Open-source platform for building cross-platform native Mobile, Web, Desktop and Embedded apps quickly.  Create rich, C#/XAML, single-codebase apps from any IDE. Hot Reload included! 90m+ NuGet Downlo",2018-05-07
https://github.com/MahApps/MahApps.Metro,MahApps.Metro,MahApps,WPF,9780,2446,2025-10-16,C#,330,2,165,4,Large,MIT,A framework that allows developers to cobble together a better UI for their own WPF applications with minimal effort.,2011-10-16
https://github.com/AutoDarkMode/Windows-Auto-Night-Mode,Windows-Auto-Night-Mode,AutoDarkMode,WPF,9256,293,2026-03-16,C#,171,2,18,30,Large,GPL-3.0,Automatically switches between the dark and light theme of Windows 10 and Windows 11,2018-11-17
https://github.com/lepoco/wpfui,wpfui,lepoco,WPF,9249,943,2026-01-16,C#,556,1,229,1,Large,MIT,"WPF UI provides the Fluent experience in your known and loved WPF framework. Intuitive design, themes, navigation and new immersive controls. All natively and effortlessly.",2021-07-24
https://github.com/reactiveui/ReactiveUI,ReactiveUI,reactiveui,WinForms,8471,1147,2026-03-26,C#,1010,13,18,7,Large,MIT,"An advanced, composable, functional reactive model-view-viewmodel framework for all .NET platforms that is inspired by functional reactive programming. ReactiveUI allows you to  abstract mutable state",2010-06-11
https://github.com/Richasy/Bili.Uwp,Bili.Uwp,Richasy,UWP,8250,491,2023-10-30,C#,980,0,206,0,Large,MIT,适用于新系统UI的哔哩,2021-05-30
https://github.com/BornToBeRoot/NETworkManager,NETworkManager,BornToBeRoot,WPF,8164,803,2026-03-25,C#,650,3,148,21,Large,GPL-3.0,A powerful open-source tool for managing networks and troubleshooting network problems!,2017-04-26
